Resource,Resource URL,Email-General,Phone-General,Address,Email-Contact,Contact,Phone-Contact,Resource Description,Resource Type,Facebook URL,Twitter URL,Instagram,Audience,Population Focus,Location,Campuses,College eligibility,Availability,Deadline,Innovation Type,Funding Amount if applicable,Topic,Technology,Client Tags,"Notes, estimated time to complete",Attachments,Approved,Approved by,Last updated,Flagged,Flagged comment,Process,Organization
Latino Association of Graduate Students in Engineering and Science,https://lagses.berkeley.edu/,lagses.contact@gmail.com,,,lagses.contact@gmail.com,,,"LAGSES is an inclusive multicultural organization that strives to increase diversity on campus by recruiting, retaining, and graduating underrepresented advanced degree students in STEM. We aim to provide a support network for minority graduate students by organizing outreach, networking, and community service activities throughout the year. We also organize social events to create a cohesive group of members that extends beyond the academic setting and include other on-campus organizations and nearby universities to amplify our reach.","Student Groups,Networks",https://www.facebook.com/ucblagses/,https://twitter.com/ucblagses,https://www.instagram.com/ucblagses/?hl=en,Graduate Student,People of Latin American descent,UC Berkeley,Berkeley,,Rolling,,,,General,,,,,,,,,,,
Queers in Computer Science and Engineering,http://qicse.cs.berkeley.edu/?_ga=2.142764533.19290003.1551058960-1317627104.1517111811,qicse@lists.eecs.berkeley.edu,,,hcook@eecs.berkeley.edu,Henry Cook,,"QICSE is the organization of queer graduate students in Computer Science and Electrical Engineering at the University of California at Berkeley. QICSE is a social group that supports gay, lesbian, bisexual, transgender, intersex, questioning, or queer grad students and their allies within the EECS department by offering them opportunities to connect to each other and with the broader campus community.","Networks,Student Groups",,,,Graduate Student,LGTBQA+,UC Berkeley,Berkeley,,Rolling,,,,General,,,,,,,,,,,
Committee on the Status of Women in Computing Research,https://cra.org/cra-w/,crawinfo@cra.org,,,crawinfo@cra.org,,,"Organization dedicated to increasing success and participation of women in computing research. Offers paid research gigs at universities as well as mentoring and events for undergraduates. Also offers volunteering/mentorship opportunities and career guidance for grad students and academia professionals in the early years. Women engineers studying Information Security can apply for scholarships that range from $5000-$10,000.","Education & Awareness,Events,Fellowships & Scholarships,Mentoring,Networks",,,,"Undergraduate Student,Graduate Student,Faculty,Alumni",Women,United States,,,,12/15/2019,,,General,"""Networks, Internet of Things, Cyber Security"",""Computing, Big Data, & Quantum Computing""",WITI,,,,,,,,,
American Indian Science and Engineering Society,http://www.aises.org/,info@aises.org,,,info@aises.org,,(505) 765-1052,"The American Indian Science and Engineering Society (AISES) is a national, nonprofit organization focused on substantially increasing the representation of American Indians, Alaska Natives, Native Hawaiians, Pacific Islanders, First Nations and other indigenous peoples of North America in science, technology, engineering and math (STEM) studies and careers. Offers educational programs and scholarships for K-12, undergraduate, and graduate students as well as internship opportunities, networking, and professional development for working professionals.","Education & Awareness,Events,Fellowships & Scholarships,Job & Internship,Mentoring,Networks",https://www.facebook.com/aises.org,https://twitter.com/AISES,https://www.instagram.com/aises_hq/,"Undergraduate Student,Graduate Student,Alumni","Under-represented minority,Indigenous peoples ",United States,,,Rolling,,,,General,,,,,,,,,,,
ACM Richard Tapia Celebration of Diversity in Computing,http://tapiaconference.org/,,,,http://tapiaconference.org/about/contact,,,"3 day conference dedicated to celebrate the diversity that exists in computing where participants can:
1. Connect with others with common backgrounds, ethnicities, disabilities, and gender so as to create communities that extend beyond the conference
2. Obtain advice from and make contacts with computing leaders in academia and industry;
3. Be inspired by great presentations and conversations with leaders with common backgrounds.",Events,,,,"Undergraduate Student,Graduate Student,Faculty,Alumni",Under-represented minority,United States,,,,3/11/2019,,,Education & Learning,,,2019 Conference in San Diego from September 18-21,,,,,,,,
Adobe Research Women-in-Technology,https://research.adobe.com/scholarship/,adoberesearchwebmaster@adobe.com,,,adoberesearchwebmaster@adobe.com,,,"$10,000 scholarship for undergraduate or masters female students anywhere in the world studying computer science. Award also comes with one year of Adobe creative cloud subscription, a personal mentor, and a guaranteed interview for an internship at Adobe.","Fellowships & Scholarships,Mentoring,Job & Internship",,,,"Undergraduate Student,Graduate Student",Women,Global,,,One time,,,,General,,WITI,deadline for 2019 passed,,,,,,,,
"Out in Science, Technology, Engineering and Mathematics",http://berkeley.ostem.org/,ostem.berkeley@gmail.com,,,ostem.berkeley@gmail.com,,,Aims to unite LGBTQ+ students studying STEM to foster a strong professional and social network and to promote LGBTQ+ awareness within the academic and professional communities. Weekly meetings Monday at 7pm.,"Student Groups,Networks",https://www.facebook.com/oSTEMBerkeley/,,,Undergraduate Student,LGTBQA+,UC Berkeley,Berkeley,,Rolling,,,,General,,,,,,,,,,,
SMART Mentoring,https://smart.berkeley.edu/,smartmentoring@berkeley.edu,,,smartmentoring@berkeley.edu,,,Student Mentoring and Research Teams (SMART) is a program that enables doctoral students to create mentored research opportunities for undergraduate students at UC Berkeley. The program provides summer funding for both graduate and undergraduate participants and opportunities to share research results on campus and at national conferences. Also teaches a class in the spring semester (GSPDP 301: Mentoring in Higher Education) that introduces graduate students to the process of mentoring.,Mentoring,,,,"Graduate Student,Undergraduate Student",,UC Berkeley,Berkeley,,Summer,,Research-Academia,,General,,,,,,,,,,,
Chancellor's Award for Advancing Institutional Excellence and Equity,https://diversity.berkeley.edu/programs-services/grants-awards/chancellors-award-advancing-institutional-excellence-and-equity,ascharf@berkeley.edu,,,ascharf@berkeley.edu,Amy Scharf,(510) 642-8844,"$10,000 grant awarded to UC Berkeley faculty who have demonstrated a commitment to excellence by providing leadership to advance equitable access to education, address the needs of California's diverse population through public service, or highlight inequalities through rigorous scholarly research. Faculty members must be nominated with four letters of recommendation, including from a fellow faculty member and a dean, as well as a curriculum vitae.
",Funding & Grants,,,,Faculty,Under-represented minority,UC Berkeley,Berkeley,,One time,9/21/2019,,,Education & Learning,,,,,,,,,,,
The Coaching Fellowship,https://www.tcfs.org/program/,hello@tcfs.org,,,hello@tcfs.org,,,"Twice a year 6 month long program where promising young women leaders in the social sector are given 11 intensive coaching sessions over the course of the program to develop their leadership and professional skills. After the program, the participants get access to a network of 600+ women leaders striving to make positive social change.","Mentoring,Networks",,,,Other,Women,United States,,,Spring,,,,General,,WITI,,,,,,,,,
MPower Financing WOMEN IN STEM SCHOLARSHIP,https://www.mpowerfinancing.com/women-in-stem/?utm_source=email&utm_medium=email&utm_campaign=universityadmin&utm_term=stem&utm_content=20191202--scholarship,https://www.mpowerfinancing.com/students-contact-us/,+1-202-417-3800,"1875 Connecticut Ave NW, 10th Flr Washington, DC 20009",https://www.mpowerfinancing.com/students-contact-us/,,,"$5000 scholarship to female undergraduate student studying a STEM field. Application consists of an online application and two essays, and readers are looking for individuals who will make a significant impact in the STEM fields in their careers.",Fellowships & Scholarships,,,,"Undergraduate Student,Graduate Student",Women,"United States,Global",,,Spring,5/1/2019,,,General,,WITI,,,,,,,,,
Next Generation Women Leaders award,https://www.mckinsey.com/next-generation-women-leaders/ngwl-award,next-generation-women@mckinsey.com,,,next-generation-women@mckinsey.com,,,"Scholarship for female students outside North America. Recipients get 2000 euros, individual mentorship and support from McKinsey, and an invitation to visit a local McKinsey office.",Fellowships & Scholarships,,,,Undergraduate Student,Women,Global,,,Winter,,,,General,,WITI,,,,,,,,,
Zonta International Women in Technology Scholarship,https://www.zonta.org/Global-Impact/Education/Women-in-Technology-Scholarship,zontaintl@zonta.org,,,zontaintl@zonta.org,,,"This pilot program provides scholarships to women studying technology, focusing mainly on university students but also available to working adults. Zonta International Foundation will award up to US$112,000 in scholarships: 32 district/region scholarships of US$2,000 each and six international scholarships of US$8,000 each. 
",Fellowships & Scholarships,https://www.facebook.com/ZontaInternational,https://twitter.com/ZontaIntl,https://www.instagram.com/Zontaintl/,"Undergraduate Student,Graduate Student,Other",Women,Global,,,"One time,Summer",8/1/2019,,,General,,WITI,,,,,,,,,
AMELIA EARHART FELLOWSHIP,https://www.zonta.org/Global-Impact/Education/Amelia-Earhart-Fellowship,zontaintl@zonta.org,+1.630.928.1400,"1211 West 22nd Street  Suite 900  Oak Brook, IL 60523 USA",zontaintl@zonta.org,,,"To assist the future of women in this field and other aerospace-related sciences and engineering, Zonta International established the Amelia Earhart Fellowship in 1938 in honor of legendary pilot and Zontian, Amelia Earhart. Today, the Fellowship of US$10,000 is awarded annually to up to 30 talented women, pursuing Ph.D./doctoral degrees in aerospace-related sciences or aerospace-related engineering around the globe.",Fellowships & Scholarships,https://www.facebook.com/ZontaInternational,https://twitter.com/ZontaIntl,https://www.instagram.com/Zontaintl/,Graduate Student,Women,Global,,,Winter,11/15/2018,,,Space,,WITI,,,,,,,,,
Box Diversity Scholarship,http://www.boxdiversityscholarship.com/,scholarship@box.com,,,scholarship@box.com,,,"Annual scholarships distributed to applicants, with focus on people of color, women, LGBTQ+, and people with disabilities. One $20,000 scholarship and 4 $4,000 scholarships distributed each cycle. Applicants must be enrolled in a four year university and studying a STEAM (science, technology, engineering, art, math) or related major.",Fellowships & Scholarships,,,,Undergraduate Student,"Women,Under-represented minority,LGTBQA+,People with Disabilities",United States,,,Winter,,,,General,,WITI,Seems to have been discontinued after 2017,,,,,,,,
Innovation Grants,https://diversity.berkeley.edu/programs-services/grants-awards/innovation-grants,vcei@berkeley.edu,(510) 642-7294,"104 California Hall, #1500 Berkeley, CA 94720-1500",vcei@berkeley.edu,,,"Since 2010, Berkeley’s Equity & Inclusion Innovation Grants program has provided over $500,000
in funding for 44 projects focused on new and sustainable ways to promote equity, inclusion,
and diversity on campus. The Division of Equity & Inclusion developed the program to encourage
grassroots creativity, innovation, and experimentation among campus members in addressing
both long- and short-term challenges. It provides a dynamic and flexible complement to larger
institutional efforts and approaches.",Funding & Grants,,,,"Undergraduate Student,Graduate Student",Under-represented minority,UC Berkeley,Berkeley,,Rolling,,,,"""Equality, Human Rights, & Justice""",,,"more details: https://catalystsforchange.berkeley.edu/sites/default/files/ucberkeley-program-innovationgrants.pdf
",,,,,,,,
Major Insights Mentorship,https://transfers.berkeley.edu/majorinsights/,,(510) 642-4257," 100 César E. Chávez Student Center   Berkeley, CA 94720-4260",,,,"UC Berkeley Mentorship program that matches first semester transfer students with continuing transfer students of the same major. The point is to help a new transfer get acclimated to the Berkeley environment by giving him/her a mentor to connect with who has been in the exact same position, allowing the transition into Berkeley life to be more smooth.",Mentoring,https://www.facebook.com/caltransfercenter,https://twitter.com/CalTransfers,https://www.instagram.com/caltransfers/,Undergraduate Student,,UC Berkeley,Berkeley,,Rolling,,,,General,,,,,,,,,,,
Getting into Graduate School (GiGS) Mentors,https://diversity.berkeley.edu/programs-services/graduate/office-graduate-diversity/getting-graduate-school/gigs-mentors,gigs@berkeley.edu,(510) 643-2103,"327 Sproul Hall Berkeley, CA 94720",clv@berkeley.edu,Cynthia Ladd-Viti,(510) 643-6010,"Mentorship program where graduate students mentor 2-3 undergraduate students in helping preparing for graduate school. This includes help writing essays, perfecting resumes, and forming a plan for post-graduation. Dedicated to assisting first generation, underrepresented students.  ",Mentoring,https://www.facebook.com/berkeleydiversity,https://twitter.com/ucbdiversity,,"Undergraduate Student,Graduate Student","Under-represented minority,First generation college students",UC Berkeley,Berkeley,,"Fall,Winter,Spring",,,,General,,,,,,,,,,,
International Peer Mentorship Program,https://internationaloffice.berkeley.edu/peer_mentorship,internationaloffice@berkeley.edu,510.642.2818,"2299 Piedmont Avenue Berkeley, CA 94720-2321",internationaloffice@berkeley.edu,,,Connects incoming international students (freshman and transfer) to a UC Berkeley student mentor who introduces the international students to the campus and points them to various opportunities to get more involved. Allows international students to participate in activities with their mentorship group and have a first community and point of contact at Cal.,Mentoring,https://www.facebook.com/BerkeleyInternationalOffice,https://twitter.com/ucbintloffice,https://www.instagram.com/ucbintloffice/,Undergraduate Student,Non-U.S. Citizen,UC Berkeley,Berkeley,,Fall,6/17/2019,,,General,,,,,,,,,,,
Berkeley Staff Assembly (BSA) Mentorship Program,https://bsa.berkeley.edu/committees-programs/mentorship-program,bsamentorship@berkeley.edu,,,bsamentorship@berkeley.edu,,,"Mentorship program that matches staff members who are looking to develop professionally to an experienced UC Berkeley staff member. Mentees and mentors meet at kickoff event and match based on preference lists submitted by both mentor and mentee. Program lasts a year, where the mentor and mentee regularly meet.",Mentoring,https://www.facebook.com//BerkeleyStaffAssembly/,,,Staff,,UC Berkeley,Berkeley,,One time,,,,General,,,,,,,,,,,
UC Berkeley Faculty Mentoring,https://vpf.berkeley.edu/faculty-mentoring/department-mentoring-programs,capps@berkeley.edu,(510) 642-6474,"200 California Hall, MC 1500 Berkeley, CA 94720-1500",capps@berkeley.edu,,,Informal and formal mentorship for faculty members of UC Berkeley focusing on the development of junior faculty members. Faculty members who seek mentorship should email the respective department mentorship point of contact in the URL.,Mentoring,,,,Faculty,,UC Berkeley,Berkeley,,Rolling,,,,General,,,,,,,,,,,
Berkeley Career Network,https://alumni.berkeley.edu/community/berkeley-network/berkeley-career-network,,,,,,,"The Berkeley Career Network makes professional connections for Cal alumni and students. The network recommends new connections for you based on shared industries, majors, and professional interests. It’s easy for students and alumni to tap into the Cal community by sending messages and requesting online or in-person meetings based on their professional goals.",Networks,https://www.facebook.com/CalAlumni,https://twitter.com/cal,https://www.instagram.com/calalumniassociation/,"Undergraduate Student,Alumni",,UC Berkeley,Berkeley,,Rolling,,,,General,,,,,,,,,,,
National Center for Women and Information Technology,https://www.ncwit.org/,info@ncwit.org,303.735.6671,"National Center for Women & Information Technology (NCWIT) University of Colorado Campus Box 417 UCB Boulder, CO 80309",info@ncwit.org,,,"Nationwide organization dedicated towards improving diversity in computing. Collaborates with corporations, schools, and nonprofits to provide resources to women in technology, from educational resources to community/mentorship programs to awards. Assists women through all stages of technology career, from grade school to university to professional.","Education & Awareness,Networks,Events,Training & Support,Tools & Further Reading",https://www.facebook.com/ncwit,https://twitter.com/NCWIT,,"Undergraduate Student,Graduate Student,Faculty,Staff,Other",Women,United States,,,"One time,Rolling",,,,General,,WITI,,,,,,,,,
Girl Geek Dinner,http://girlgeekdinners.com/,http://girlgeekdinners.com/contact-us,,,http://girlgeekdinners.com/contact-us,,,Worldwide organization that aims to nurture young females to succeed in a career in technology. Many chapters worldwide that organize local events targeting local K-12 schools and universities and identify routes around barriers that prevent people from getting into technology.,"Events,Networks",https://www.facebook.com/girlgeekx/?ref=br_rs,https://twitter.com/GirlGeekX,https://www.instagram.com/girlgeekx/?hl=en,Undergraduate Student,Women,Global,,,Rolling,,,,General,,WITI,,,,,,,,,
Women in Science & Engineering Leadership Institute (WISELI),https://wiseli.wisc.edu/,wiseli@engr.wisc.edu,608-263-1445,"3065 Mechanical Engineering Building 1513 University Avenue Madison, WI 53706-1539",wiseli@engr.wisc.edu,,,"University of Wisconsin-Madison intitiative that aims to promote the involvement and advancement of women studying science and engineering. Offers resources ranging from workshops/guest lectures to grants for faculty members and scholarships for undergraduate students.
","Networks,Training & Support",,,,"Undergraduate Student,Graduate Student,Faculty","Women,Under-represented minority",United States,,,Rolling,,,,General,,WITI,,,,,,,,,
UC Davis Feminist Research Institute,https://fri.ucdavis.edu/,fri@ucdavis.edu,,,fri@ucdavis.edu,,,UC Davis initiative that aims to transform academic research by introducing social justice and gender equity into traditional research methodologies to foster more inclusive and nuanced findings that can reach new audiences. Their approach is known as feminist research. Provides events and funding dedicated towards advancing feminist research.,"Funding & Grants,Education & Awareness,Events",https://www.facebook.com/ucdfri/,https://twitter.com/FRIUCDavis,,"Undergraduate Student,Graduate Student,Faculty","Women,Under-represented minority",California,Davis,,Rolling,,Research-Academia,,"""Equality, Human Rights, & Justice""",,WITI,,,,,,,,,
Stanford Clayman Institute for Gender Research,https://gender.stanford.edu,GENDER-EMAIL@STANFORD.EDU,650-723-1994,"589 Capistrano Way Stanford, CA 94305",GENDER-EMAIL@STANFORD.EDU,,,"Research Institute at Stanford University dedicated to gender research, inspiring innovative solutions that advance gender equality. Also provides fellowships and internships for students interested in the space to develop the next generation of passionate individuals  dedicated to closing existing gender gaps and discovering the insights necessary to gain an understanding of the causes and potential solutions of gender issues.","Fellowships & Scholarships,Education & Awareness",https://www.facebook.com/stanfordgender/,https://twitter.com/clayman_inst,,"Undergraduate Student,Graduate Student,Faculty",Women,Bay Area,,,Rolling,,Research-Academia,,General,,WITI,,,,,,,,,
Center for Women in Technology (CWIT),https://cwit.umbc.edu/,,410-455-2822,"1000 Hilltop Circle, ITE452 Baltimore, MD 21250",cseaman@umbc.edu,"Carolyn Seaman, Ph.D., Interim Director",410-455-2822,"Center for Women in Technology (CWIT) helps UMBC achieve its regional and national mission by identifying those areas in science, technology, and engineering where women are significantly underrepresented, attracting well-qualified female students to UMBC through special scholarship initiatives such as the CWIT Scholars Program, and working with departments and other campus partners to help make UMBC a welcoming place for women in engineering and information technology.","Fellowships & Scholarships,Events",,,,Undergraduate Student,Women,United States,,,,,,,General,,WITI,,,,,,,,,
Center for Race and Gender-Graduate Students,http://crg.berkeley.edu/student-grants/,,,,,,,"The Center for Race and Gender provided grants to fund research or creative projects of undergraduates, that address issues of race and gender. Topics should be consonant with the CRG's mandate to promote increased understanding of race and gender and their intersections in a wide variety of social, cultural, and institutional contexts, especially on the Berkeley campus and its neighboring communities, but also in California, the nation, or the world.",Funding & Grants,,,,Graduate Student,,UC Berkeley,Berkeley,,,4/1/2019,,$200-$1k,Health & Biotech,,"BearX.co,WITI","""Application Form: Yes
Letters of Rec: Yes
Letters of Rec Detail: 1
Personal Essay: Yes
Project Proposal: Yes
Other Submission Requirements: Yes
Other Submission Requirements Notes: 1-2 page project description, timeline for project completion""",,,,,,,,
Jack Larson Scholarship-Graduate,https://haas.berkeley.edu/financial-aid/full-time-mba/scholarships/,entrepreneurship@haas.berkeley.edu,,,entrepreneurship@haas.berkeley.edu,,,"The Jack Larson Fellowship is designed to assist entrepreneurs entering their second year of the full-time MBA program. Three recipients will be selected and each will receive $12,500. Application deadline for 2019 will be announced in March.

The question that will appear on the form: Please describe your career goals and entrepreneurial aspirations. Indicate how the fellowship will help you achieve your personal and professional goals. Limit response to 500 words.","Funding & Grants,Fellowships & Scholarships",,,,Other,,UC Berkeley,Berkeley,,,4/14/2019,Startups,$12.5k,General,,BearX.co,,,,,,,,,
